Lämpötilan keskiarvo [°C],Alin lämpötila [°C],Ylin lämpötila [°C],Tunnin sademäärä [mm],Suhteellisen kosteuden keskiarvo [%],Ilmanpaineen keskiarvo [hPa],Keskituulen nopeus [m/s],Kovin keskituulen nopeus [m/s],Kovin puuska [m/s],Tuulen suunnan keskiarvo [°]
2.3,2.1,2.5,0.0,67,1011.8,4.5,5.3,9.9,340.0
1.9,1.8,2.1,0.0,66,1012.2,4.6,5.4,9.4,352.0
1.7,1.4,1.8,0.0,66,1012.5,3.5,4.3,7.8,357.0
1.1,1.0,1.4,0.0,67,1012.6,3.1,3.4,5.4,349.0
0.7,0.1,1.1,0.0,71,1012.8,2.2,3.2,4.0,346.0
0.3,0.1,0.5,0.0,75,1012.9,2.1,2.5,3.9,335.0
0.1,-0.2,0.3,0.0,78,1012.9,2.3,2.8,3.7,313.0
-0.3,-0.4,-0.1,0.0,80,1013.0,2.5,2.9,4.2,330.0
0.5,-0.1,0.8,0.0,76,1013.3,2.6,2.9,5.6,354.0
0.5,0.1,0.7,0.0,73,1013.6,3.1,4.2,7.6,10.0
0.5,0.4,0.5,0.0,69,1013.7,3.1,3.5,5.5,11.0
0.5,0.4,0.5,0.0,70,1013.8,3.1,3.8,5.6,13.0
0.4,0.4,0.5,0.0,70,1013.8,3.0,3.5,5.5,10.0
0.4,0.3,0.4,0.0,68,1013.8,2.9,3.3,5.6,12.0
0.4,0.2,0.4,0.0,68,1013.9,3.1,3.7,5.8,3.0
0.1,-0.1,0.3,0.0,73,1014.0,2.8,3.4,6.0,353.0
0.1,-0.1,0.2,0.0,77,1014.2,3.7,5.2,8.6,6.0
0.2,0.1,0.3,0.0,79,1014.4,4.3,4.9,8.2,19.0
0.8,0.3,1.6,0.0,78,1014.6,4.2,4.8,8.4,25.0
1.4,1.1,1.6,0.0,84,1014.9,4.1,5.8,9.0,24.0
2.0,1.7,2.5,0.0,81,1015.1,3.9,4.7,8.5,29.0
2.9,2.5,3.3,0.0,76,1015.1,4.6,5.4,8.5,35.0
3.2,2.9,3.8,0.0,76,1015.2,4.5,5.8,8.4,32.0
3.7,3.6,3.9,0.0,72,1015.3,4.3,4.9,7.9,44.0
3.6,3.5,3.7,0.0,75,1015.3,4.3,5.0,8.8,36.0
3.4,2.9,3.8,0.0,75,1015.7,5.1,6.1,10.4,46.0
2.9,2.8,3.0,0.0,78,1016.0,4.5,6.1,10.0,44.0
2.9,2.8,3.0,0.0,74,1016.4,6.0,6.7,12.2,49.0
2.5,2.2,2.7,0.0,77,1016.7,6.5,7.8,12.3,49.0
2.0,1.9,2.2,0.0,77,1017.2,6.7,8.0,12.7,50.0
1.7,1.5,2.0,0.0,76,1017.8,6.2,6.6,11.7,52.0
1.6,1.4,1.8,0.0,75,1018.1,6.5,7.8,12.5,51.0
1.3,1.1,1.5,0.0,74,1018.4,6.2,6.9,11.2,49.0
1.0,0.9,1.2,0.0,75,1018.6,6.6,7.3,11.2,49.0
1.2,1.0,1.3,0.0,74,1018.7,7.3,7.7,13.4,50.0
0.7,0.5,1.0,0.0,77,1019.1,6.4,7.4,12.0,52.0
0.4,0.3,0.5,0.0,78,1019.5,5.6,6.6,11.1,54.0
0.3,0.2,0.4,0.0,77,1019.5,5.8,6.8,10.7,50.0
0.1,-0.1,0.3,0.0,77,1019.6,6.5,7.2,10.8,45.0
0.0,-0.1,0.0,0.0,76,1019.9,6.5,7.1,11.8,45.0
0.0,-0.2,0.2,0.0,75,1020.4,6.7,7.3,13.6,45.0
0.5,0.2,0.9,0.0,71,1020.8,6.7,7.3,12.2,47.0
1.4,0.9,1.8,0.0,68,1021.0,7.0,7.9,13.2,49.0
2.2,1.8,2.6,0.0,66,1021.1,6.8,8.1,14.0,52.0
3.0,2.7,3.3,0.0,62,1021.0,7.0,7.7,13.6,57.0
3.5,3.3,3.9,0.0,58,1020.8,6.7,7.7,12.0,64.0
3.8,3.5,4.1,0.0,56,1020.8,6.7,8.1,13.2,66.0
3.8,3.6,4.1,0.0,54,1020.8,7.0,7.7,12.8,53.0
3.5,3.1,3.8,0.0,55,1020.8,6.5,8.2,11.9,49.0
2.8,2.5,3.2,0.0,58,1021.1,6.2,7.2,11.7,49.0
2.0,1.7,2.5,0.0,60,1021.7,5.8,6.5,10.4,45.0
1.4,1.1,1.7,0.0,62,1021.9,5.4,6.3,9.7,44.0
0.8,0.6,1.0,0.0,64,1022.1,5.5,6.0,9.8,49.0
0.7,0.6,0.7,0.0,65,1022.1,6.3,6.8,11.1,50.0
0.3,0.1,0.7,0.0,67,1022.3,5.9,6.9,10.3,48.0
-0.1,-0.3,0.1,0.0,70,1022.3,5.3,6.1,9.6,56.0
-0.2,-0.3,-0.1,0.0,70,1022.5,5.4,6.1,9.5,54.0
-0.4,-0.5,-0.3,0.0,72,1022.7,5.9,7.2,11.1,50.0
-0.5,-0.7,-0.3,0.0,73,1022.5,6.5,7.4,11.3,50.0
-0.7,-1.0,-0.5,0.0,76,1022.6,6.1,7.3,11.4,51.0
-0.9,-1.1,-0.7,0.0,77,1022.6,5.3,6.3,9.3,51.0
-0.6,-0.8,-0.5,0.0,74,1022.4,4.3,5.3,9.0,58.0
-0.2,-0.5,0.0,0.0,75,1022.5,3.9,5.0,7.7,59.0
0.2,0.0,0.5,0.0,73,1022.7,4.2,4.6,7.4,55.0
0.4,0.1,0.8,0.0,75,1022.4,4.7,5.4,8.7,57.0
1.0,0.8,1.3,0.0,73,1022.7,5.1,5.7,9.0,63.0
1.5,1.2,1.9,0.0,71,1022.9,4.8,5.5,9.8,59.0
2.3,1.7,2.9,0.0,70,1023.2,4.5,5.0,8.9,61.0
3.7,2.9,4.5,0.0,69,1023.2,5.0,7.8,12.5,84.0
4.4,4.1,4.5,0.0,63,1022.7,7.2,9.0,13.6,106.0
4.7,4.4,4.9,0.0,64,1021.9,7.0,8.1,13.2,101.0
4.9,4.8,5.2,0.0,58,1021.5,6.7,8.2,13.4,92.0
4.6,4.4,4.8,0.0,59,1021.2,7.5,8.9,14.0,99.0
4.0,2.9,4.4,0.0,62,1020.7,6.8,8.1,14.1,88.0
2.3,2.0,2.8,0.0,75,1020.4,4.5,5.7,7.8,59.0
1.7,1.5,1.9,0.0,76,1020.2,4.6,5.5,8.7,59.0
1.3,1.1,1.5,0.0,77,1019.9,4.5,4.9,8.1,58.0
1.2,1.0,2.8,0.0,77,1019.6,4.6,6.3,11.4,71.0
4.0,3.1,4.2,0.0,68,1018.8,8.2,9.4,14.0,106.0
4.3,4.1,4.4,0.0,71,1018.5,7.3,9.0,12.4,114.0
4.3,4.2,4.4,0.0,72,1017.8,7.2,7.8,12.3,118.0
4.3,4.2,4.3,0.0,75,1017.1,7.0,7.8,11.6,110.0
4.4,4.3,4.6,0.0,76,1016.7,7.2,8.0,12.5,113.0
4.3,4.2,4.4,0.0,78,1016.1,6.5,7.9,11.3,113.0
4.3,4.3,4.3,0.0,80,1015.5,5.8,7.0,10.1,114.0
4.3,4.0,4.4,0.3,84,1014.9,5.5,6.3,9.5,112.0
4.0,3.9,4.2,0.4,92,1014.3,5.3,6.6,10.2,101.0
4.3,4.2,4.4,0.4,93,1014.0,4.9,5.7,9.2,117.0
4.2,4.1,4.3,0.3,95,1013.6,5.1,6.4,8.9,124.0
4.2,4.1,4.3,0.3,97,1013.3,5.0,5.3,8.2,126.0
4.4,4.3,4.4,0.5,97,1013.1,4.7,5.5,7.9,132.0
4.3,4.3,4.4,0.3,97,1012.8,4.2,5.3,7.7,131.0
4.5,4.4,4.6,0.1,96,1012.5,3.2,3.9,6.3,123.0
4.6,4.6,4.7,0.1,95,1012.2,3.6,4.5,6.4,124.0
4.8,4.7,4.9,0.0,95,1011.7,2.3,2.8,4.4,101.0
4.8,4.7,4.8,0.1,96,1011.3,1.8,2.2,3.3,98.0
4.7,4.7,4.8,0.1,96,1011.1,1.6,1.7,2.8,83.0
4.7,4.7,4.8,0.1,98,1010.8,1.9,2.2,2.8,59.0
4.7,4.7,4.8,0.0,98,1010.4,1.9,2.2,2.8,38.0
4.7,4.7,4.7,0.0,98,1010.4,1.8,2.0,2.9,34.0
4.6,4.4,4.7,0.0,98,1010.3,2.1,2.8,3.9,24.0
4.1,3.9,4.4,0.0,98,1010.0,2.5,2.8,4.1,20.0
3.7,3.7,3.9,0.0,97,1009.9,2.2,2.9,4.0,20.0
3.5,3.4,3.7,0.0,97,1009.7,2.0,2.5,3.7,7.0
3.2,3.1,3.4,0.0,98,1009.4,2.1,2.6,4.1,3.0
3.0,2.9,3.1,0.0,98,1009.3,2.4,2.9,4.1,359.0
2.9,2.8,2.9,0.0,98,1009.2,2.6,3.4,4.6,358.0
2.7,2.6,2.8,0.0,98,1008.9,2.7,3.2,4.8,2.0
2.5,2.4,2.7,0.0,98,1008.8,2.8,3.1,5.0,1.0
2.4,2.3,2.5,0.0,98,1008.8,3.0,3.6,5.2,10.0
2.5,2.4,2.6,0.0,98,1008.8,3.1,3.8,5.0,10.0
2.7,2.6,2.7,0.0,97,1008.8,2.5,2.8,4.6,12.0
2.6,2.5,2.7,0.0,97,1008.8,2.6,3.1,4.8,359.0
2.8,2.7,3.0,0.0,96,1009.1,2.9,3.7,5.4,8.0
3.1,3.0,3.3,0.0,95,1009.5,2.4,2.9,5.0,13.0
3.3,3.2,3.5,0.0,94,1009.8,2.5,3.2,4.5,16.0
3.6,3.5,3.7,0.0,93,1010.1,2.4,3.0,4.4,2.0
3.7,3.6,3.9,0.0,92,1010.1,2.4,3.0,4.9,353.0
3.9,3.8,4.1,0.0,90,1010.3,2.2,2.8,4.0,344.0
4.2,4.1,4.4,0.0,89,1010.4,2.1,2.5,4.1,351.0
4.3,4.2,4.4,0.0,88,1010.5,2.2,2.8,4.1,356.0
4.0,3.8,4.2,0.0,89,1010.9,2.0,2.6,3.9,347.0
3.7,3.6,3.8,0.0,91,1011.4,1.8,2.4,3.8,345.0
3.7,3.6,3.7,0.0,90,1011.6,2.3,2.7,4.1,8.0
3.6,3.5,3.7,0.0,90,1011.9,2.0,2.5,4.1,20.0
3.5,3.3,3.5,0.0,92,1012.2,1.6,2.4,3.4,22.0
3.2,3.1,3.3,0.0,93,1012.6,2.1,2.4,4.1,352.0
3.1,3.0,3.1,0.0,93,1013.0,2.6,3.3,5.2,12.0
2.9,2.8,3.0,0.0,92,1013.2,2.0,2.6,4.2,27.0
2.8,2.7,2.9,0.0,91,1013.7,2.4,3.0,4.9,21.0
2.3,1.9,2.8,0.0,89,1014.1,3.3,4.1,6.7,29.0
1.9,1.8,1.9,0.0,88,1014.4,2.8,3.2,5.8,24.0
1.7,1.5,1.8,0.0,88,1015.0,3.2,3.7,5.6,38.0
1.3,1.2,1.5,0.0,89,1015.6,3.2,3.6,6.1,39.0
0.9,0.5,1.2,0.0,85,1016.1,4.1,4.7,6.8,45.0
0.1,-0.2,0.5,0.0,86,1016.5,3.5,4.5,6.6,43.0
-0.3,-0.6,-0.2,0.0,85,1017.3,3.6,4.7,7.5,40.0
-0.5,-0.8,-0.2,0.0,82,1017.8,2.9,3.6,6.4,38.0
-0.1,-0.3,0.4,0.0,77,1018.1,3.6,4.7,7.4,49.0
1.2,0.5,2.1,0.0,73,1018.3,2.9,3.8,6.3,60.0
1.8,1.4,2.1,0.0,73,1018.4,2.3,3.2,4.7,45.0
2.1,2.0,2.4,0.0,74,1018.5,2.2,2.5,4.1,31.0
2.0,1.7,2.2,0.0,76,1018.6,2.4,2.8,4.5,21.0
2.4,2.1,2.6,0.0,76,1018.7,2.4,3.0,5.0,24.0
2.5,2.3,2.7,0.0,77,1018.6,3.1,4.2,6.1,38.0
2.1,1.9,2.3,0.0,80,1018.5,3.4,4.0,5.9,42.0
1.9,1.8,2.0,0.0,80,1018.8,3.4,4.2,5.6,51.0
1.8,1.8,1.9,0.0,80,1019.0,2.7,3.3,5.2,41.0
1.7,1.6,1.8,0.0,81,1019.1,2.9,3.3,5.4,44.0
1.5,1.4,1.7,0.0,82,1019.2,3.1,3.8,5.7,49.0
1.4,1.2,1.6,0.0,84,1019.3,3.3,4.1,6.0,61.0
1.2,1.1,1.3,0.0,87,1019.2,3.3,3.9,5.8,63.0
1.1,1.0,1.2,0.0,86,1019.1,3.3,3.7,5.9,61.0
1.1,1.0,1.2,0.0,85,1018.9,3.4,4.2,7.1,62.0
1.4,1.2,1.4,0.0,86,1018.8,3.0,3.5,5.4,57.0
1.2,1.0,1.4,0.0,87,1018.9,2.6,3.0,4.3,50.0
0.8,0.8,1.0,0.0,90,1019.2,2.7,3.2,4.6,54.0
0.8,0.8,0.8,0.0,91,1019.2,2.5,2.9,4.1,54.0
0.7,0.7,0.8,0.0,92,1019.4,2.7,3.1,4.9,63.0
0.8,0.7,0.8,0.0,92,1019.6,2.5,2.8,4.0,59.0
0.9,0.8,1.0,0.0,92,1019.5,2.2,2.7,4.3,49.0
0.9,0.8,1.1,0.0,90,1019.9,2.4,3.5,4.4,55.0
1.0,0.9,1.3,0.0,92,1019.8,2.8,3.5,4.4,50.0
1.1,0.5,1.4,0.5,93,1019.8,3.3,4.0,6.9,56.0
0.6,0.5,0.7,0.2,95,1019.7,3.1,3.8,5.7,58.0
0.8,0.6,1.0,0.1,94,1019.4,3.9,4.7,6.7,58.0
1.2,0.9,1.5,0.1,92,1018.8,4.5,5.2,9.0,63.0
1.4,1.2,1.6,0.0,88,1018.4,5.1,6.0,9.9,62.0
1.7,1.6,1.7,0.0,87,1018.2,4.8,5.8,9.1,68.0
1.2,0.8,1.6,0.5,91,1018.1,5.2,5.9,9.3,65.0
1.0,0.9,1.1,0.0,88,1017.9,4.9,5.5,9.5,59.0
1.0,0.9,1.1,0.0,80,1017.5,5.3,5.6,9.1,58.0
0.9,0.8,0.9,0.0,77,1017.2,4.9,5.7,8.4,56.0
0.8,0.7,0.9,0.0,77,1017.2,4.6,5.3,8.3,65.0
0.6,0.5,0.7,0.0,79,1016.9,4.5,4.8,8.0,59.0
0.6,0.6,0.8,0.0,79,1016.6,4.2,5.2,7.7,59.0
1.3,0.7,2.4,0.0,74,1016.4,5.3,7.4,12.6,87.0
2.3,2.2,2.4,0.0,68,1015.8,7.1,7.8,12.5,103.0
2.1,2.0,2.3,0.0,69,1015.2,7.7,8.7,13.3,102.0
1.9,1.7,2.0,0.0,68,1014.8,7.3,8.3,13.4,94.0
1.7,1.7,1.8,0.0,67,1014.6,8.0,8.8,14.8,94.0
1.8,1.7,2.1,0.0,68,1014.3,6.8,9.0,15.5,95.0
2.0,2.0,2.1,0.0,68,1013.8,8.2,9.2,14.4,105.0
1.9,1.8,2.0,0.0,68,1013.4,7.7,8.5,14.5,100.0
1.8,1.6,1.9,0.0,67,1013.0,8.2,8.8,14.6,101.0
1.8,1.7,1.9,0.0,71,1012.6,6.7,7.8,13.0,93.0
1.9,1.8,2.0,0.0,72,1012.3,7.0,8.8,13.0,93.0
1.9,1.8,2.1,0.0,72,1011.9,7.6,8.9,13.5,90.0
2.2,2.0,2.4,0.0,71,1011.3,7.8,8.8,13.5,94.0
2.2,2.1,2.4,0.0,71,1010.7,7.6,8.6,15.1,90.0
2.2,2.1,2.3,0.0,72,1010.2,7.3,8.6,13.6,89.0
2.5,2.3,2.7,0.0,70,1009.7,7.5,8.2,14.9,92.0
2.7,2.6,2.9,0.0,68,1009.1,7.8,9.1,13.9,94.0
3.0,2.9,3.1,0.0,68,1008.7,7.5,8.2,14.6,97.0
3.0,3.0,3.1,0.0,66,1008.4,8.1,9.1,14.0,104.0
3.2,3.0,3.4,0.0,66,1008.0,7.5,8.9,14.0,102.0
3.2,3.0,3.4,0.0,68,1007.9,8.2,9.3,13.6,111.0
2.9,2.7,3.1,0.0,70,1007.9,7.4,8.3,12.5,121.0
2.6,2.5,2.7,0.0,68,1007.7,7.5,8.6,12.2,121.0
2.5,2.4,2.5,0.0,69,1007.3,6.8,7.3,11.5,117.0
2.5,2.4,2.5,0.0,68,1006.9,6.8,7.9,12.1,110.0
2.5,2.5,2.6,0.0,69,1006.3,6.1,6.6,10.7,109.0
2.6,2.6,2.7,0.0,71,1005.8,5.8,6.7,10.6,103.0
2.7,2.7,2.8,0.0,71,1005.3,5.7,7.2,10.9,95.0
2.4,2.0,2.8,0.0,74,1004.9,4.1,5.1,8.3,77.0
2.3,2.2,2.4,0.0,74,1004.7,4.4,5.0,9.2,80.0
0.8,0.2,2.3,0.0,76,1004.6,4.5,5.2,8.0,46.0
0.1,-0.1,0.2,0.0,79,1004.4,4.6,5.1,7.7,49.0
-0.1,-0.2,0.0,0.0,80,1004.2,4.9,5.3,7.9,48.0
-0.1,-0.2,0.0,0.0,80,1004.2,4.5,4.9,8.7,51.0
-0.2,-0.3,-0.1,0.0,81,1004.2,5.0,5.4,8.9,51.0
-0.3,-0.4,-0.2,0.0,80,1004.1,4.6,5.6,8.3,47.0
-0.4,-0.5,-0.2,0.0,79,1003.9,4.5,5.4,8.4,43.0
-0.3,-0.4,-0.2,0.0,79,1003.7,4.8,5.4,8.7,44.0
-0.2,-0.3,-0.1,0.0,78,1003.6,4.8,5.5,8.9,45.0
-0.3,-0.3,-0.2,0.0,76,1003.5,4.8,5.6,9.0,42.0
-0.2,-0.3,-0.1,0.0,73,1003.5,4.6,5.1,8.2,43.0
0.1,-0.1,0.3,0.0,71,1003.4,5.1,5.6,9.6,44.0
0.4,0.3,0.4,0.0,70,1003.5,5.4,6.5,9.5,44.0
0.4,0.3,0.4,0.0,71,1003.4,4.7,5.8,9.7,39.0
0.4,0.3,0.4,0.0,72,1003.3,4.8,5.8,10.0,40.0
0.3,0.3,0.4,0.0,74,1003.1,4.2,5.2,8.5,40.0
0.2,0.0,0.4,0.0,75,1003.1,4.3,5.0,8.0,41.0
-0.1,-0.3,0.0,0.0,77,1003.0,4.1,5.0,7.9,42.0
-0.3,-0.4,-0.2,0.0,77,1002.9,4.2,4.7,8.4,27.0
-0.5,-0.7,-0.3,0.0,76,1002.9,3.9,4.6,7.3,27.0
-0.7,-0.8,-0.7,0.0,75,1002.8,3.5,4.2,6.6,23.0
-0.7,-0.8,-0.6,0.0,76,1002.5,3.0,3.8,6.0,22.0
-0.8,-1.0,-0.6,0.0,86,1002.4,2.9,3.5,6.3,35.0
-0.2,-0.5,-0.1,0.0,80,1002.1,3.3,3.7,5.9,29.0
0.0,-0.1,0.0,0.0,79,1002.0,3.7,4.3,6.6,30.0
-0.1,-0.2,0.0,0.0,83,1002.0,4.0,4.4,7.6,28.0
-0.2,-0.2,-0.1,0.0,84,1002.1,3.9,4.9,7.4,29.0
-0.1,-0.2,0.0,0.0,84,1002.3,3.9,4.5,7.4,27.0
0.0,0.0,0.1,0.0,83,1002.7,4.1,4.6,7.8,27.0
0.1,0.0,0.2,0.0,83,1003.2,3.5,4.7,7.6,30.0
0.2,0.0,0.4,0.0,82,1003.4,4.2,4.8,7.2,23.0
0.4,0.3,0.5,0.0,80,1003.5,4.1,5.2,7.4,26.0
0.4,0.2,0.5,0.0,75,1003.7,3.8,4.7,7.0,24.0
0.4,0.3,0.5,0.0,69,1003.8,3.5,4.4,6.8,16.0
0.3,0.1,0.4,0.0,66,1004.1,3.6,4.4,7.1,13.0
0.0,-0.1,0.1,0.0,66,1004.4,3.3,4.8,7.0,8.0
-0.1,-0.1,0.0,0.0,64,1004.8,2.9,3.7,5.8,8.0
-0.3,-0.5,-0.1,0.0,59,1005.2,4.0,4.8,7.2,12.0
-0.6,-0.7,-0.5,0.0,57,1005.6,3.3,4.4,6.2,13.0
-0.9,-1.0,-0.7,0.0,58,1005.9,3.0,3.9,5.9,3.0
-1.1,-1.3,-0.9,0.0,61,1006.2,2.5,3.2,5.6,360.0
-1.3,-1.4,-1.2,0.0,65,1006.6,2.4,2.7,3.9,318.0
-1.2,-1.3,-1.0,0.0,63,1006.8,2.3,2.7,4.9,336.0
-1.3,-1.4,-1.2,0.0,64,1007.0,1.8,2.5,3.5,325.0
-1.3,-1.3,-1.2,0.0,64,1007.2,2.0,2.5,3.7,325.0
-1.4,-1.4,-1.3,0.0,65,1007.3,1.9,2.2,3.7,322.0
-1.4,-1.5,-1.3,0.0,66,1007.5,2.2,2.5,4.2,324.0
-1.3,-1.4,-1.2,0.0,64,1007.8,1.8,2.0,3.7,332.0
-1.2,-1.3,-1.1,0.0,61,1008.2,1.9,2.2,4.1,358.0
-1.2,-1.3,-1.1,0.0,61,1008.4,1.7,2.5,3.4,5.0
-1.3,-1.4,-1.2,0.0,60,1008.6,1.8,2.7,4.8,23.0
-1.3,-1.4,-1.1,0.0,58,1008.9,1.5,2.0,3.4,36.0
-0.9,-1.0,-0.7,0.0,59,1009.2,2.3,2.7,4.0,20.0
-0.8,-1.0,-0.5,0.0,58,1009.6,2.2,2.7,3.7,26.0
-0.5,-0.7,-0.2,0.0,55,1009.8,1.6,1.9,3.3,84.0
-0.2,-0.5,0.1,0.0,54,1009.8,1.2,1.7,3.0,138.0
0.2,-0.1,0.5,0.0,53,1009.6,1.3,1.8,2.9,150.0
0.4,0.0,0.7,0.0,53,1009.4,1.3,1.8,3.2,124.0
-0.5,-1.0,0.0,0.0,61,1009.4,1.3,1.9,2.7,243.0
-0.8,-1.3,-0.4,0.0,64,1009.0,1.0,1.9,2.8,85.0
-0.5,-0.8,-0.2,0.0,67,1008.7,2.2,2.9,3.5,83.0
-0.5,-0.6,-0.4,0.0,64,1008.5,2.5,2.9,4.1,63.0
-0.6,-0.7,-0.4,0.0,66,1008.3,2.7,2.9,4.0,70.0
-0.2,-0.4,0.0,0.0,69,1007.7,2.7,3.2,4.9,72.0
-0.2,-0.2,-0.1,0.0,71,1007.3,2.4,3.4,5.5,60.0
-0.1,-0.2,0.0,0.0,72,1006.8,2.2,2.9,4.4,53.0
0.2,-0.1,0.3,0.0,73,1006.2,2.0,2.6,3.9,40.0
0.5,0.3,0.9,0.0,76,1005.8,2.5,2.9,4.4,38.0
0.5,0.1,0.6,0.1,79,1005.2,2.7,3.5,4.3,22.0
0.1,-0.1,0.2,1.1,93,1004.4,2.2,3.2,4.2,31.0
0.5,0.2,1.2,0.0,93,1003.7,1.9,3.2,4.9,53.0
0.4,0.2,0.4,0.0,94,1003.1,1.2,1.7,2.9,38.0
0.3,0.1,0.5,0.0,95,1002.5,1.5,2.4,3.2,34.0
0.1,0.0,0.4,0.0,96,1002.0,1.6,1.9,2.5,61.0
0.5,-0.1,0.8,0.0,94,1001.8,2.2,2.6,3.6,38.0
1.0,0.6,1.5,0.0,90,1001.5,2.8,3.7,5.4,40.0
1.0,0.8,1.4,0.5,92,1001.3,3.2,3.6,5.4,44.0
1.1,0.8,1.5,0.1,95,1001.3,2.2,3.2,4.9,39.0
1.7,1.5,1.9,0.1,94,1001.5,3.1,3.8,6.0,45.0
2.1,1.9,2.3,0.2,92,1001.7,3.3,4.3,7.1,42.0
2.5,2.2,2.8,0.1,88,1001.6,4.3,5.2,7.3,54.0
2.9,2.8,3.0,0.0,84,1002.1,4.1,4.7,6.8,49.0
2.5,2.2,2.8,0.0,87,1002.5,3.7,4.6,6.7,51.0
2.0,1.8,2.2,0.0,89,1003.1,3.3,4.0,6.6,35.0
1.7,1.5,1.8,0.0,89,1003.9,3.1,3.6,5.7,29.0
1.5,1.3,1.7,0.0,88,1004.7,3.0,3.8,6.0,30.0
1.1,1.0,1.3,0.0,90,1005.2,3.0,3.8,5.9,38.0
1.0,0.9,1.1,0.0,89,1005.5,3.6,4.0,6.3,49.0
0.8,0.8,0.9,0.0,89,1005.7,3.3,3.9,6.3,59.0
0.8,0.7,0.9,0.0,89,1006.2,3.0,3.3,5.1,51.0
0.8,0.7,1.0,0.0,88,1006.5,3.2,3.8,6.4,69.0
1.1,1.0,1.1,0.0,87,1006.9,3.2,4.2,6.2,69.0
1.2,1.0,1.4,0.0,89,1006.8,3.3,3.9,6.5,82.0
1.7,1.4,2.4,0.0,89,1006.2,4.2,4.7,8.4,78.0
3.9,2.9,4.1,0.0,80,1006.2,7.2,8.9,12.5,128.0
3.6,3.5,3.8,0.0,80,1005.3,8.5,9.7,15.2,127.0
3.3,3.1,3.5,0.0,81,1004.9,8.5,9.3,14.7,128.0
2.6,2.3,3.1,0.6,87,1004.8,8.6,9.8,14.5,126.0
2.4,2.3,2.7,0.5,95,1004.4,6.6,7.8,11.0,122.0
3.0,2.7,3.3,0.3,97,1003.9,7.2,7.7,11.7,119.0
3.6,3.3,3.9,0.4,97,1003.8,5.6,7.5,10.3,116.0
4.3,3.9,4.7,0.7,98,1003.7,4.1,4.8,6.5,111.0
5.1,4.7,5.4,0.6,98,1003.3,4.3,4.8,6.4,112.0
5.6,5.4,5.8,0.1,98,1002.7,4.8,5.3,7.7,109.0
5.9,5.9,6.1,0.0,97,1001.9,5.3,5.9,9.0,101.0
6.1,6.0,6.1,0.0,95,1001.3,5.8,6.5,9.6,102.0
6.1,6.0,6.2,0.0,96,1000.3,5.6,6.6,10.3,100.0
6.1,6.0,6.2,1.2,97,999.2,6.4,7.2,12.0,95.0
6.1,6.0,6.2,1.9,97,998.3,7.5,8.6,13.8,90.0
6.0,5.8,6.2,2.5,96,997.1,7.8,9.4,15.0,84.0
5.7,5.6,5.8,3.0,96,996.1,7.5,8.4,14.0,78.0
4.9,3.8,5.5,2.9,95,995.1,7.2,8.2,14.0,68.0
2.9,2.3,3.8,1.6,95,993.8,7.8,8.3,14.8,62.0
2.4,2.3,2.4,0.7,95,992.8,7.5,8.3,15.0,68.0
2.5,2.4,2.6,0.6,95,992.2,7.0,8.0,13.1,62.0
2.6,2.6,2.7,0.2,95,991.8,6.6,7.2,13.4,53.0
2.7,2.7,2.8,0.1,95,991.4,7.0,7.9,13.8,50.0
2.7,2.6,2.7,0.1,95,991.2,6.7,7.3,12.8,52.0
2.7,2.7,2.7,0.1,95,990.7,6.7,7.3,12.7,54.0
2.7,2.7,2.8,0.0,95,990.6,6.3,7.4,11.8,51.0
2.7,2.7,2.8,0.3,96,990.6,5.6,6.2,9.5,53.0
2.9,2.8,3.0,0.3,96,990.4,4.9,6.0,8.3,54.0
3.2,3.0,3.3,0.1,97,990.6,4.0,5.3,8.6,61.0
3.5,3.3,3.7,0.1,98,990.8,3.2,3.9,6.0,54.0
3.9,3.8,4.0,0.1,98,990.8,1.9,3.0,3.7,6.0
4.1,3.9,4.4,0.0,98,991.7,2.4,2.8,4.3,283.0
4.1,3.9,4.4,0.0,98,992.6,4.4,5.6,9.1,241.0
3.8,3.6,4.1,0.0,96,993.4,5.6,6.5,10.3,238.0
3.8,3.4,4.0,0.0,92,994.1,5.5,6.5,11.4,250.0
3.2,3.0,3.4,0.0,90,994.9,6.1,7.2,10.6,254.0
2.8,2.6,2.9,0.0,90,995.7,6.1,7.2,9.8,261.0
2.4,2.2,2.7,0.0,93,996.4,4.9,5.8,11.8,257.0
1.8,1.2,2.2,0.0,93,997.1,5.5,6.6,11.2,258.0
1.7,1.2,1.9,0.0,91,997.7,4.6,5.5,8.1,255.0
2.0,1.8,2.2,0.0,90,998.0,4.5,5.1,8.0,258.0
2.3,2.1,2.5,0.0,89,998.3,4.8,5.8,9.2,258.0
2.6,2.4,2.9,0.0,89,998.5,4.6,5.6,8.2,251.0
2.6,2.3,2.8,0.0,91,998.7,5.2,5.7,10.2,245.0
2.5,2.1,2.8,0.0,87,998.8,6.5,8.1,12.6,251.0
1.9,1.6,2.3,0.0,85,999.2,6.8,7.5,11.6,252.0
1.7,1.5,1.9,0.0,85,999.3,7.2,8.3,12.6,252.0
1.5,1.2,1.7,0.0,84,999.6,7.4,8.0,12.6,250.0
1.5,1.2,1.7,0.0,84,999.9,6.1,7.7,11.3,255.0
1.3,1.1,1.4,0.0,87,1000.3,6.3,7.3,12.8,260.0
1.1,0.8,1.4,0.0,88,1000.7,6.3,7.7,11.6,260.0
